Step,Value
0,0.114399999
1,0.102980003
2,0.101340003
3,0.100639999
4,0.102200001
5,0.103100002
6,0.104960002
7,0.108379997
8,0.114560001
9,0.123360001
10,0.140819997
11,0.154960006
12,0.181240007
13,0.204539999
14,0.224059999
15,0.239140004
16,0.245580003
17,0.257140011
18,0.26135999
19,0.263440013
20,0.269279987
21,0.272680014
22,0.278499991
23,0.283459991
24,0.285699993
25,0.290499985
26,0.297839999
27,0.299239993
28,0.304839998
29,0.31024
0,0.314539999
1,0.317200005
2,0.322939992
3,0.327780008
4,0.333380014
5,0.334960014
6,0.34145999
7,0.343140006
8,0.350059986
9,0.357059985
10,0.356480002
11,0.364520013
12,0.36364001
13,0.371219993
14,0.373540014
15,0.376659989
16,0.38102001
17,0.383100003
18,0.385219991
19,0.38973999
20,0.390379995
21,0.391059995
22,0.395839989
23,0.396899998
24,0.401780009
25,0.401659995
26,0.405059993
27,0.405919999
28,0.409020007
29,0.41238001
0,0.413899988
1,0.412400007
2,0.415340006
3,0.417100012
4,0.421499997
5,0.421799988
6,0.422259986
7,0.424499989
8,0.42464
9,0.427139997
10,0.429619998
11,0.429439992
12,0.434780002
13,0.432099998
14,0.439740002
15,0.437979996
16,0.439139992
17,0.440200001
18,0.442180008
19,0.442079991
20,0.443619996
21,0.445879996
22,0.446700007
23,0.44749999
24,0.452199996
25,0.451860011
26,0.45442
27,0.454439998
28,0.454899997
29,0.457720011
0,0.45976001
1,0.457399994
2,0.462500006
3,0.461080015
4,0.461780012
5,0.464819998
6,0.467920005
7,0.466639996
8,0.46676001
9,0.468419999
10,0.47014001
11,0.472160012
12,0.471819997
13,0.475520015
14,0.476680011
15,0.475160003
16,0.478619993
17,0.477679998
18,0.480019987
19,0.481759995
20,0.484120011
21,0.484899998
22,0.487379998
23,0.48833999
24,0.490099996
25,0.490700006
26,0.489160001
27,0.489899993
28,0.49217999
29,0.494139999
0,0.496280015
1,0.494120002
2,0.499579996
3,0.497260004
4,0.498939991
5,0.50308001
6,0.502600014
7,0.502879977
8,0.504279971
9,0.505680025
10,0.506259978
11,0.50948
12,0.510399997
13,0.508260012
14,0.509899974
15,0.511839986
16,0.510339975
17,0.513220012
18,0.514320016
19,0.516179979
20,0.516380012
21,0.518959999
22,0.518320024
23,0.521920025
24,0.521380007
25,0.523299992
26,0.522740006
27,0.527740002
28,0.52354002
29,0.52512002
0,0.595600009
1,0.603079975
2,0.606980026
3,0.61115998
4,0.615540028
5,0.616240025
6,0.620819986
7,0.623640001
8,0.625419974
9,0.628239989
10,0.631120026
11,0.634760022
12,0.63823998
13,0.63815999
14,0.640100002
15,0.643060029
16,0.647819996
0,0.595839977
1,0.603139997
2,0.606700003
3,0.609300017
4,0.613539994
5,0.617879987
6,0.619620025
7,0.623080015
8,0.627900004
9,0.630079985
10,0.632759988
11,0.634519994
12,0.638580024
13,0.640680015
14,0.6426
15,0.645319998
16,0.646640003
17,0.649619997
18,0.652559996
19,0.655420005
20,0.65666002
21,0.657480001
22,0.661419988
23,0.663600028
24,0.664759994
25,0.667699993
26,0.670700014
27,0.671140015
28,0.674220026
29,0.676280022
30,0.678600013
31,0.681379974
32,0.681599975
33,0.684859991
34,0.687300026
35,0.690639973
36,0.692019999
37,0.69344002
38,0.693239987
39,0.69757998
40,0.699280024
41,0.701200008
42,0.70472002
43,0.7051
44,0.706740022
45,0.71013999
46,0.711220026
47,0.715380013
48,0.715439975
49,0.718439996
50,0.721279979
51,0.721880019
52,0.725019991
53,0.727299988
54,0.727699995
55,0.730979979
56,0.734099984
57,0.734139979
58,0.735480011
59,0.737820029
60,0.742739975
61,0.740800023
62,0.745360017
63,0.747380018
64,0.751640022
65,0.75120002
66,0.752719998
67,0.755299985
68,0.759119987
69,0.760760009
0,0.596080005
1,0.602940023
2,0.606440008
3,0.60996002
4,0.614740014
5,0.618200004
6,0.619899988
7,0.623440027
8,0.625859976
9,0.629800022
10,0.632160008
11,0.635339975
12,0.635280013
13,0.639779985
14,0.640879989
15,0.644680023
16,0.646939993
17,0.649940014
18,0.652339995
19,0.654999971
20,0.656819999
21,0.659200013
22,0.659720004
23,0.663139999
24,0.666019976
25,0.667840004
26,0.669560015
27,0.672100008
28,0.675379992
29,0.675080001
30,0.678839982
31,0.680620015
32,0.681999981
33,0.685000002
34,0.686100006
35,0.68900001
36,0.690479994
37,0.692979991
38,0.695159972
39,0.69818002
40,0.701240003
41,0.701900005
42,0.702560008
43,0.706260026
44,0.708239973
45,0.710919976
46,0.711619973
47,0.712300003
48,0.716539979
49,0.718699992
0,0.720040023
1,0.721059978
2,0.723039985
3,0.727620006
4,0.728439987
5,0.728919983
6,0.732140005
7,0.736479998
8,0.73684001
9,0.737540007
10,0.740559995
11,0.742879987
12,0.744719982
13,0.748920023
14,0.749660015
15,0.751420021
16,0.753499985
17,0.753920019
18,0.757260025
19,0.760039985
20,0.762719989
21,0.763700008
22,0.765380025
23,0.767340004
24,0.770099998
25,0.771340013
26,0.776160002
27,0.776440024
28,0.779439986
29,0.78174001
30,0.784759998
31,0.785579979
32,0.788619995
33,0.789499998
34,0.790260017
35,0.795400023
36,0.796379983
37,0.799380004
38,0.803059995
39,0.803120017
40,0.804239988
41,0.807959974
42,0.809740007
43,0.813759983
44,0.814300001
45,0.817179978
46,0.819339991
47,0.822520018
48,0.82543999
49,0.825500011
0,0.668500006
0,0.598219991
1,0.654579997
2,0.680079997
3,0.69660002
4,0.709640026
5,0.722599983
6,0.734719992
7,0.74526
8,0.75624001
9,0.76661998
10,0.773000002
11,0.782379985
12,0.792500019
13,0.80023998
14,0.809080005
15,0.815159976
16,0.825259984
17,0.834500015
18,0.842260003
19,0.847859979
20,0.856959999
21,0.860840023
22,0.870720029
23,0.877619982
24,0.880900025
25,0.888419986
26,0.893100023
27,0.899460018
28,0.906099975
29,0.908699989
30,0.916239977
31,0.916679978
32,0.923240006
33,0.925639987
34,0.929120004
35,0.934740007
36,0.936540008
37,0.938279986
38,0.94283998
39,0.946120024
40,0.947820008
41,0.948360026
42,0.951699972
43,0.955860019
44,0.957059979
45,0.957859993
46,0.960699975
47,0.962239981
48,0.962279975
49,0.964720011
0,0.986320019
1,0.990779996
2,0.991159976
3,0.992259979
4,0.992399991
5,0.993139982
6,0.993740022
7,0.993539989
8,0.993780017
9,0.993839979
10,0.99405998
11,0.99436003
12,0.994279981
13,0.994040012
14,0.994459987
15,0.993900001
16,0.994279981
17,0.994759977
18,0.995119989
19,0.994819999
20,0.995019972
21,0.994400024
22,0.99555999
23,0.995700002
24,0.995599985
25,0.995580018
26,0.995159984
27,0.995459974
28,0.994719982
29,0.996100008
30,0.995000005
31,0.995440006
32,0.995840013
33,0.996020019
34,0.995859981
35,0.995400012
36,0.996259987
37,0.996320009
38,0.996140003
39,0.995519996
40,0.996559978
41,0.996159971
42,0.99563998
43,0.995360017
44,0.995840013
45,0.99594003
46,0.995999992
47,0.996460021
48,0.996360004
49,0.995400012
0,0.563160419
1,0.607708931
2,0.627361536
3,0.639749467
4,0.648855269
0,0.601404905
1,0.641090274
2,0.665125668
3,0.676613033
4,0.690621972
0,0.703210056
1,0.71229589
2,0.724443614
3,0.729366779
4,0.739973605
0,0.745497108
1,0.752921879
2,0.759105802
3,0.764869511
4,0.770833313
5,0.777417541
6,0.778017938
7,0.783381343
8,0.787504017
9,0.792567253
0,0.795889378
1,0.804354787
2,0.804815054
3,0.810218513
4,0.81330049
5,0.81658262
6,0.817803383
7,0.822246253
8,0.823126793
9,0.826969266
0,0.830311418
1,0.831952453
2,0.835574746
3,0.839197099
4,0.83999759
5,0.843139589
6,0.844780684
7,0.848202825
8,0.850384235
9,0.853766382
0,0.853606284
1,0.856568217
2,0.859089792
3,0.859590113
4,0.863072395
5,0.865874171
6,0.865734041
7,0.86945647
8,0.870377064
9,0.868796051
10,0.873018742
11,0.875780523
12,0.878141999
13,0.879382789
14,0.87660104
15,0.878462195
16,0.881604254
17,0.881964445
18,0.887027681
19,0.887948275
20,0.888368547
21,0.889048994
22,0.892611265
23,0.889809489
24,0.893872082
25,0.894112229
26,0.89717418
27,0.898154795
28,0.896273613
29,0.897374332
0,0.901216805
1,0.90249759
2,0.902517617
3,0.904679
4,0.904558897
5,0.907260656
6,0.909722209
7,0.908481419
8,0.909962356
9,0.911571681
10,0.912435949
11,0.91226387
12,0.912764192
13,0.914825499
14,0.91452527
15,0.915906191
16,0.917647302
17,0.919768631
18,0.920088828
19,0.919328392
20,0.920228958
21,0.92130965
22,0.923891306
23,0.923230886
24,0.924931943
25,0.923591077
26,0.923891306
27,0.926813185
28,0.92641288
29,0.928174019
0,0.940902174
1,0.945765316
2,0.94654578
3,0.948507071
4,0.949247539
5,0.949007392
6,0.949567735
7,0.94974786
8,0.951548994
9,0.950948596
10,0.951008618
11,0.951749146
12,0.953250051
13,0.953770399
14,0.952269435
15,0.953350127
16,0.954670966
17,0.954390824
18,0.954530895
19,0.954110622
20,0.953790426
21,0.954410851
22,0.956872404
23,0.956051886
24,0.954951167
25,0.956512153
26,0.954150677
27,0.955351412
28,0.956292033
29,0.957452774
0,0.958833635
1,0.957312703
2,0.957032502
3,0.956652284
4,0.957272649
5,0.957712948
6,0.959313989
7,0.957746506
8,0.956978679
9,0.958993733
10,0.95879364
11,0.958273292
12,0.957592845
13,0.959594131
14,0.957813025
15,0.959494054
16,0.959333956
17,0.960514724
18,0.959273934
19,0.959313989
20,0.960134506
21,0.960654795
22,0.961035073
23,0.959313989
24,0.960274577
25,0.962115765
26,0.961255193
27,0.961455345
28,0.960594773
29,0.959974408
0,0.951388896
1,0.893431783
2,0.795669258
3,0.685358644
4,0.567403138
5,0.473563075
6,0.410362631
7,0.373899281
8,0.348803222
9,0.338576674
10,0.329871118
11,0.327269465
0,0.96207571
1,0.956211984
2,0.951749146
3,0.944104254
4,0.932837009
5,0.92211014
6,0.909762263
7,0.901877224
8,0.892931461
9,0.888068378
10,0.883625507
11,0.877021313
12,0.870216966
13,0.868695974
14,0.865794122
15,0.858689547
16,0.857628882
17,0.851044655
18,0.845701277
19,0.84195888
20,0.83525455
21,0.831071913
22,0.827509582
23,0.824027359
24,0.817783356
25,0.814301133
26,0.811819553
27,0.805695653
28,0.802093327
29,0.797530413
0,0.962135792
1,0.959614158
2,0.955211341
3,0.951629043
4,0.946085513
5,0.940041602
6,0.935278594
7,0.930075228
8,0.9270733
9,0.925752461
10,0.924051404
11,0.924271524
12,0.924111426
13,0.920549154
14,0.92415148
15,0.923951328
16,0.924751818
17,0.923771203
18,0.922830641
19,0.92335093
20,0.924331546
21,0.923991382
22,0.921149552
23,0.922670484
24,0.923290908
25,0.923215449
26,0.92415148
27,0.922165275
28,0.924051404
29,0.924131453
0,0.968179643
1,0.968679965
2,0.969040215
3,0.968719959
4,0.967719316
5,0.968559861
6,0.967979491
7,0.9698807
8,0.968920112
9,0.970441103
10,0.968259692
11,0.968820035
12,0.970761299
13,0.968920112
14,0.970361054
15,0.970220923
16,0.968679965
17,0.970941424
18,0.970561147
19,0.969860733
20,0.970701277
21,0.971061468
22,0.970180929
23,0.970710635
24,0.9692505
25,0.970581174
26,0.969280362
27,0.972202182
28,0.971001446
29,0.971461713
0,0.971821964
1,0.971261621
2,0.972182214
3,0.972242236
4,0.971261621
5,0.971001446
6,0.972802579
7,0.971041441
0,0.972602487
1,0.973082781
2,0.971541762
3,0.972062111
4,0.972322285
5,0.972282231
6,0.972622454
7,0.973122776
8,0.974503696
9,0.973102808
10,0.974003375
11,0.971581817
12,0.97272253
13,0.97192204
14,0.973142803
15,0.973443031
16,0.972682536
17,0.973322928
18,0.972442389
19,0.972602487
20,0.973082781
21,0.972562432
22,0.972642481
23,0.973002732
24,0.973703146
25,0.972982705
26,0.973142803
27,0.974003375
28,0.973723173
29,0.973643124
